"Student Counts by District and Race"
"All Districts"
"Trend"

"",,"Race",,,,,,,,,,,,
"District","District Code","American Indian","American Indian or Alaska Native","Asian","Black or African American","Black, not of Hispanic Origin","Hispanic/Latino","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Not Reported","Two or More Races","White","White, not of Hispanic Origin","Total"
"Charter School for Young Children on Asylum Hill District","=""2870013""","*","*",9,98,138,84,55,0,0,0,66,93,546
"Cheshire School District","=""0250011""","*",69,4214,824,275,461,1323,"*",0,193,26821,13192,47397
"Chester School District","=""0260011""",0,0,58,17,10,20,45,0,0,51,1504,905,2610
"Clinton School District","=""0270011""",8,43,520,103,64,403,1384,15,0,263,11359,5588,19750
"Colchester School District","=""0280011""",71,134,562,485,306,368,976,10,0,338,17132,8779,29161
"Colebrook School District","=""0290011""",11,0,"*","*",6,0,14,0,0,54,596,337,1025
"Columbia School District","=""0300011""","*",0,33,38,9,51,183,"*",0,42,3121,1656,5138
"Common Ground High School District","=""2680013""",0,0,20,416,221,163,468,0,0,52,293,77,1710
"Connecticut Technical High School System","=""9000016""",213,383,1007,9622,4541,8215,24157,63,0,1900,37835,17467,105403
"Cooperative Educational Services","=""2430014""",9,"*",279,1646,719,556,1861,"*",0,145,1944,856,8027
"Cornwall School District","=""0310011""",0,0,29,"*","*",12,55,0,0,50,563,337,1057
"Coventry School District","=""0320011""",14,15,177,127,106,141,566,0,0,421,10727,5582,17876
"Cromwell School District","=""0330011""",13,22,1091,1215,512,355,1119,20,0,155,10598,4967,20067
"Danbury School District","=""0340011""","*",67,8002,6127,3035,10321,32679,37,"*",1691,30638,15120,107743
"Darien School District","=""0350011""","*",58,1667,181,114,271,1330,"*",0,308,30961,13392,48326
"Deep River School District","=""0360011""","*","*",26,23,27,77,161,"*",0,52,2053,974,3398
"Department of Mental Health and Addiction Services","=""3370015""",0,0,"*",11,"*","*",8,0,0,"*",13,14,60
"Derby School District","=""0370011""","*","*",363,1586,686,941,2653,46,0,303,5391,2656,14641
"East Granby School District","=""0400011""","*",23,370,445,124,85,361,"*",0,145,4855,2403,8830
"East Haddam School District","=""0410011""",7,"*",105,52,51,113,180,"*",0,71,7979,4056,12621
"East Hampton School District","=""0420011""",8,8,366,111,91,175,562,10,0,221,12152,5790,19494
"East Hartford School District","=""0430011""",75,144,3881,16849,7841,8203,20714,12,0,232,8686,4572,71209
"East Haven School District","=""0440011""",31,26,1457,735,317,1439,4471,7,0,338,15606,8588,33015
"East Lyme School District","=""0450011""",62,50,2709,437,196,311,956,12,0,329,16610,8168,29840
"East Windsor School District","=""0470011""",14,20,661,957,631,414,1184,6,0,373,5448,3062,12770
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",9,31,21,119,13,44,396,0,0,74,1884,352,2943
"Eastford School District","=""0390011""","*",9,32,9,"*",15,22,0,0,31,1003,509,1640
"Easton School District","=""0460011""",0,13,487,64,38,119,359,7,0,148,5946,3154,10335
"EdAdvance","=""2420014""",0,0,"*",7,0,0,54,"*",0,"*",148,0,219
"Education Connection","=""2420014""","*",41,34,50,41,155,321,22,0,"*",928,363,1966
"Ellington School District","=""0480011""",27,"*",1458,681,265,189,820,"*",0,530,15585,7162,26744
"Elm City College Preparatory School","=""2810013""",0,0,"*",0,774,197,0,0,0,0,0,"*",985
"Elm City College Preparatory School District","=""2890013""","*",12,14,3372,428,112,983,0,0,47,49,"*",5024
"Elm City Montessori School District","=""2910013""",0,0,"*",141,0,0,90,0,0,"*",82,0,323
"Enfield School District","=""0490011""",51,152,1401,2233,1538,1089,4145,65,0,1679,28662,15693,56708
"Essex School District","=""0500011""","*",0,142,33,40,51,147,"*",0,109,3055,1595,5176
"Explorations District","=""2720013""","*","*",6,13,"*",10,46,0,0,10,505,235,833
"Fairfield School District","=""0510011""",18,99,5483,1648,758,1807,6316,36,0,2111,57378,25740,101394
"Farmington School District","=""0520011""",19,48,5917,1510,684,519,1736,0,0,253,20322,10097,41105
"Franklin School District","=""0530011""",15,7,29,0,"*",21,81,"*",0,36,1171,637,2008
"Glastonbury School District","=""0540011""",60,72,5821,1336,761,915,3373,33,0,1590,34249,17192,65402
"Granby School District","=""0560011""",25,44,271,622,307,134,483,0,0,401,12678,6361,21326
"Great Oaks Charter School District","=""2940013""",0,0,"*",336,0,0,300,"*",0,10,24,0,677
"Greenwich School District","=""0570011""",31,65,7415,1820,735,3855,11705,28,0,1972,41293,19812,88731
"Griswold School District","=""0580011""",108,165,384,413,173,236,805,12,0,621,11304,5695,19916
"Groton School District","=""0590011""",279,390,3368,3372,2172,1622,5706,73,0,2018,19296,10182,48478
"Guilford School District","=""0600011""",9,14,1362,295,135,511,1449,21,0,668,21412,10277,36153
"Hamden School District","=""0620011""",29,46,4421,11963,6100,2436,6929,11,0,1480,16701,8618,58734
"Hampton School District","=""0630011""",6,0,"*","*",0,28,53,0,0,19,725,422,1262
"Hartford School District","=""0640011""","*",405,5552,47822,25955,34623,77231,189,"*",4409,16142,4463,216941
"Hartland School District","=""0650011""",8,11,38,25,"*",11,23,"*",0,24,1349,660,2156
"Hebron School District","=""0670011""","*","*",107,28,19,55,257,0,0,136,5733,3420,9765
"Highville Charter School District","=""2860013""",0,0,6,2531,801,64,100,0,0,45,26,13,3586
"Integrated Day Charter School District","=""2640013""","*","*",278,194,145,86,308,0,0,208,1376,692,3303
"Interdistrict School for Arts and Comm District","=""2650013""","*",18,32,305,128,209,746,"*",0,116,405,192,2158
"Jumoke Academy District","=""2610013""",0,15,10,4228,1177,34,95,35,0,28,"*","*",5631
"Kent School District","=""0680011""",0,0,87,"*","*",59,152,0,0,107,1530,705,2661
"Killingly School District","=""0690011""",77,247,600,443,286,307,1149,0,0,743,15517,7322,26691
"Learn","=""2450014""",58,58,620,1959,551,857,4463,"*","*",1118,5647,1598,16973
"Lebanon School District","=""0710011""",46,134,169,101,61,117,335,24,0,16,7537,4274,12814
"Ledyard School District","=""0720011""",368,801,1153,1078,467,525,1566,32,0,523,13098,6559,26170
"Lisbon School District","=""0730011""",16,12,113,25,33,39,170,14,0,217,2578,1557,4774
"Litchfield School District","=""0740011""",23,"*",205,57,"*",103,306,65,0,55,6635,3392,10866
"Madison School District","=""0760011""",32,46,1238,155,103,146,660,18,0,536,20680,10538,34152
"Manchester School District","=""0770011""",103,169,4998,9757,4705,4303,11192,"*","*",1732,18197,10248,65437
"Mansfield School District","=""0780011""",17,"*",1362,205,130,235,929,"*",0,361,6475,3080,12807
"Marlborough School District","=""0790011""",0,"*",160,"*",37,70,229,0,0,127,3820,1817,6290
"Meriden School District","=""0800011""","*",283,2457,6245,3481,11402,28376,229,"*",1179,19079,10530,83324
"Middletown School District","=""0830011""",54,86,2481,7160,3883,1988,5637,27,0,1645,18168,8735,49864
"Milford School District","=""0840011""",61,63,5487,2165,945,1240,2766,36,0,181,36131,18082,67157
"Monroe School District","=""0850011""","*",77,1293,377,258,481,1627,"*",0,539,20356,11010,36060
"Montville School District","=""0860011""",291,284,2162,504,442,516,1467,"*","*",1605,11557,6429,25293
"Naugatuck School District","=""0880011""",49,46,1605,2222,1282,1795,6208,"*","*",1423,19932,10949,45554
"New Beginnings Inc Family Academy District","=""""",0,"*",0,320,0,0,159,0,0,"*",12,0,499
"New Beginnings Inc., Family Academy District","=""2800013""",0,0,"*",1750,901,157,643,0,0,"*",86,22,3574
"New Britain School District","=""0890011""",36,97,2519,9564,5671,17960,43301,36,0,1374,15157,7082,102797
"New Canaan School District","=""0900011""",17,80,1826,343,120,258,1015,19,0,506,26007,11565,41756
"New Fairfield School District","=""0910011""","*",43,511,236,93,328,1356,"*",0,295,16587,8565,28021
"New Hartford School District","=""0920011""",0,"*",60,"*",11,14,123,0,0,74,3466,1838,5595
"New Haven School District","=""0930011""",108,262,4290,63475,29497,21727,59311,"*","*",743,21793,7438,208701
"New London School District","=""0950011""",176,198,496,5331,2954,4125,11181,"*","*",1496,3945,1619,31577
"New Milford School District","=""0960011""","*",14,1772,652,324,1014,3239,"*",0,734,25580,12904,46248
"Newington School District","=""0940011""",37,39,3772,1570,832,1330,4924,17,0,1259,19198,10281,43259
"Newtown School District","=""0970011""","*",13,1785,438,215,548,1672,"*",0,507,30797,15484,51469
"Norfolk School District","=""0980011""",0,0,16,"*","*",11,22,0,0,10,799,438,1306
"North Branford School District","=""0990011""",23,33,469,339,135,197,655,0,0,34,12889,6695,21469
"North Canaan School District","=""1000011""",0,"*",23,14,"*",46,223,0,0,56,1738,966,3079
"North Haven School District","=""1010011""",9,34,2405,895,577,510,1530,8,0,563,19123,9596,35250
"North Stonington School District","=""1020011""",58,57,154,119,"*",61,189,"*",0,89,4733,2165,7683
"Norwalk School District","=""1030011""",68,87,5406,15179,7484,10454,31537,40,0,1117,27018,13004,111394
"Norwich Free Academy District","=""9010022""",109,292,1573,2212,973,779,2268,251,0,492,9594,5036,23579
"Norwich School District","=""1040011""",323,212,2821,4810,2828,2550,7281,74,0,2536,9703,5436,38574
"Odyssey Community School District","=""2630013""","*",8,245,442,143,101,341,"*",0,102,1004,269,2663
"Old Saybrook School District","=""1060011""",10,"*",790,177,103,168,666,"*",0,205,8610,4296,15035
"Orange School District","=""1070011""","*","*",1449,181,106,131,372,0,0,166,6792,3311,12521
"Oxford School District","=""1080011""","*",26,409,189,96,196,819,"*",0,278,12803,5629,20464
"Park City Prep Charter School District","=""2830013""","*",0,25,1148,436,218,816,"*",0,26,93,6,2770
"Path Academy District","=""2930013""",0,"*","*",35,0,0,294,0,0,"*",99,0,432
"Plainfield School District","=""1090011""",120,194,558,711,257,387,384,"*","*",59,15390,7318,25421
"Plainville School District","=""1100011""",14,35,577,822,493,585,2365,9,0,598,12606,6432,24536
"Plymouth School District","=""1110011""","*",38,191,185,107,163,577,"*",0,89,10155,5251,16764
"Pomfret School District","=""1120011""",0,"*",135,46,28,34,79,"*",0,27,2829,1526,4711
"Portland School District","=""1130011""",22,8,219,257,185,141,766,6,0,371,8019,3885,13879
"Preston School District","=""1140011""",45,69,117,72,22,43,108,18,0,99,2559,1280,4432
"Putnam School District","=""1160011""",23,34,130,113,118,140,644,16,0,422,7416,3494,12550
"Redding School District","=""1170011""",13,19,388,51,32,79,346,7,0,437,6473,3578,11423
"Regional School District 01","=""2010012""","*","*",54,63,24,43,165,0,0,37,2791,1573,4756
"Regional School District 04","=""2040012""",10,10,161,90,31,84,344,0,0,98,6130,2720,9678
"Regional School District 05","=""2050012""",12,47,2555,494,191,226,562,15,0,224,13304,6381,24011
"Regional School District 06","=""2060012""","*",27,80,77,38,52,211,"*",0,127,6548,3171,10350
